web-scraper-order,web-scraper-start-url,char_link,char_link-href,rank,attack_lvl,attack_exp,def_lvl,def_exp,str_lvl,str_exp,hp_lvl,hp_exp,range_lvl,range_exp,prayer_lvl,prayer_exp,mage_lvl,mage_exp,cook_lvl,cook_exp,wc_lvl,wc_exp,fletch_lvl,fletch_exp,fish_lvl,fish_exp,fm_lvl,fm_exp,craft_lvl,craft_exp,smith_lvl,smith_exp,mining_lvl,mining_exp,herb_lvl,herb_exp,agile_lvl,agile_exp,thieving_lvl,thieving_exp,slayer_lvl,slayer_exp,farming_lvl,farming_exp,rc_lvl,rc_exp,hunt_lvl,hunt_exp,con_lvl,con_exp
"1606487916-14","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Malein","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Malein","3,133","99","13,141,255","99","25,019,723","99","13,803,089","99","92,907,078","99","139,238,386","89","4,842,698","99","26,232,828","99","25,081,272","88","4,512,681","99","26,037,453","91","6,106,259","90","5,366,647","99","15,835,013","99","13,810,795","88","4,486,997","97","11,079,535","86","3,634,285","97","11,309,099","99","34,471,770","99","14,307,628","86","3,598,967","99","14,843,973","82","2,544,335"
"1606488106-39","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Stefn","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Stefn","70","99","27,734,189","99","42,744,978","99","26,767,485","99","123,489,084","99","200,000,000","99","13,113,157","99","22,956,488","99","25,150,932","99","14,294,890","99","33,516,393","99","14,842,561","99","15,830,379","99","26,636,950","99","16,303,018","99","14,097,120","99","13,716,548","99","19,870,693","99","16,315,558","99","51,045,078","99","28,252,525","99","13,989,854","99","30,270,489","99","13,497,754"
"1606487981-23","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Ranger Lemus","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Ranger%A0Lemus","13","99","162,454,648","99","131,935,795","99","159,418,879","99","185,562,112","99","34,529,755","99","24,546,149","99","29,062,162","99","25,442,422","99","14,468,131","99","26,314,619","99","17,250,169","99","25,203,921","99","21,714,627","99","25,011,429","99","25,185,837","99","16,652,158","99","14,139,236","99","17,248,268","99","98,847,028","99","23,041,741","99","13,739,418","99","27,169,190","99","13,080,797"
"1606488187-50","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Housan II","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Housan%A0II","8,846","99","81,971,402","99","200,000,000","99","89,678,530","99","153,309,397","99","16,121,281","99","200,000,000","99","18,340,172","87","4,257,424","79","1,915,026","99","200,000,000","75","1,271,356","99","13,873,629","99","21,693,245","91","6,100,906","80","2,122,316","80","2,016,227","76","1,389,171","72","946,535","99","27,636,352","99","14,044,639","70","738,606","90","5,357,877","94","7,965,527"
"1606487965-21","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Rough Ralph","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Rough%A0Ralph","52","99","83,526,832","99","83,274,839","99","86,469,175","99","131,592,213","99","58,115,129","99","14,615,910","99","35,993,225","99","28,037,434","99","16,246,067","99","26,274,358","99","15,692,864","99","13,063,894","99","25,559,648","99","26,527,250","99","26,696,555","99","15,962,835","99","17,040,896","99","25,000,214","99","53,085,337","99","25,443,341","99","14,036,084","99","25,597,935","99","13,213,486"
"1606487974-22","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","MyfAlt","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=MyfAlt","1,933","99","66,658,231","99","67,917,779","99","169,654,805","99","126,101,229","99","25,620,941","99","14,374,707","99","18,169,473","99","15,070,469","83","2,934,211","99","26,286,827","92","7,137,081","99","13,042,817","99","13,705,971","99","13,049,996","99","13,035,058","95","8,801,011","84","3,155,391","99","13,265,157","99","60,901,678","99","18,116,810","87","4,039,184","99","16,039,154","92","6,584,823"
"1606487865-7","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Darkher","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Darkher","160","99","62,811,903","99","62,216,871","99","63,757,563","99","82,667,933","99","23,975,676","99","14,863,142","99","35,095,931","99","25,013,683","99","15,791,809","99","25,841,137","99","13,073,127","99","13,035,945","99","13,784,441","99","14,020,899","99","13,040,342","99","13,816,602","99","13,610,598","99","13,949,060","99","74,294,020","99","25,097,954","99","13,058,916","99","28,220,251","99","13,733,192"
"1606487894-11","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Peace Magic","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Peace%A0Magic","37,075","99","13,052,144","94","8,698,566","99","13,047,032","98","12,699,984","66","543,751","75","1,310,364","90","5,362,355","75","1,321,804","99","13,687,050","99","25,974,544","73","1,003,792","99","16,243,033","80","1,994,469","94","8,350,432","99","13,634,140","51","114,324","56","198,726","58","225,976","92","6,851,980","71","855,485","50","108,938","79","1,839,894","71","828,492"
"1606488061-33","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Goku3ss3","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Goku3ss3","26","99","40,808,173","99","39,170,272","99","77,715,168","99","66,436,881","99","31,734,392","99","14,259,469","99","19,247,762","99","131,608,561","99","45,367,908","99","27,126,471","99","35,939,163","99","32,047,371","99","14,993,531","99","14,909,239","99","44,934,232","99","23,048,588","99","43,794,820","99","13,646,280","99","30,433,986","99","25,002,929","99","13,056,614","99","144,975,660","99","13,113,416"
"1606488136-43","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Ceyyl2","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Ceyyl2","11","99","143,434,637","99","141,420,651","99","145,832,411","99","200,000,000","99","200,000,000","99","27,008,211","99","43,474,752","99","28,317,822","99","31,052,800","99","41,798,033","99","17,974,171","99","13,036,481","99","19,448,684","99","23,709,134","99","17,163,154","99","14,103,220","99","13,114,534","99","15,594,496","99","42,490,524","99","15,532,222","99","13,046,578","99","13,708,777","99","13,079,915"
"1606487832-2","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Snelmz","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Snelmz","156","99","46,442,957","99","46,443,245","99","77,682,395","99","70,179,897","99","23,747,145","99","13,042,663","99","18,345,319","99","25,031,600","99","56,806,319","99","25,705,217","99","54,317,774","99","13,037,494","99","13,525,503","99","13,100,767","99","26,953,299","99","13,144,464","99","25,608,721","99","13,036,126","99","32,042,517","99","15,990,084","99","13,044,225","99","27,724,461","99","13,059,729"
"1606487988-24","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Fjala r","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Fjala%A0r","1,245","99","13,052,401","99","21,031,670","99","13,040,098","99","98,240,926","99","180,207,342","99","13,083,759","99","21,313,008","99","26,957,487","93","7,530,252","99","26,565,475","91","6,046,309","99","13,034,580","99","13,054,751","95","8,790,683","96","9,960,326","98","12,097,914","99","14,154,570","99","13,721,163","99","47,306,637","99","15,723,901","89","4,924,991","99","13,682,151","96","10,093,383"
"1606487858-6","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Higher Goals","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Higher%A0Goals","10,195","99","37,950,772","99","36,290,243","99","83,663,410","99","64,661,205","99","28,760,890","84","3,173,430","96","10,654,455","99","15,035,762","80","1,986,539","99","25,809,008","87","4,096,623","85","3,592,603","86","3,747,492","80","2,008,040","78","1,734,787","92","6,565,251","81","2,274,386","85","3,336,941","99","30,062,198","99","14,589,280","79","1,820,634","88","4,405,626","73","1,013,156"
"1606488172-48","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Ccr Lyder","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Ccr%A0Lyder","5,352","99","13,958,200","99","15,674,907","99","15,952,041","99","19,338,275","84","2,999,844","78","1,718,476","99","46,503,379","94","8,052,911","94","8,502,851","99","70,059,235","99","16,627,509","90","5,886,976","79","1,845,696","99","25,857,386","99","147,944,021","85","3,559,265","89","4,995,201","99","16,013,221","95","9,000,931","90","5,566,740","99","170,005,618","89","5,024,803","78","1,686,773"
"1606488030-29","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Ice Sacks","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Ice%A0Sacks","37","99","113,443,994","99","97,017,727","99","116,883,278","99","138,109,473","99","40,270,527","99","15,654,671","99","28,185,381","99","26,482,447","99","19,310,954","99","26,918,188","99","13,484,967","99","17,034,068","99","18,486,672","99","25,124,849","99","23,336,192","99","17,851,171","99","15,056,438","99","19,822,466","99","56,667,578","99","28,570,538","99","13,040,553","99","27,527,016","99","14,321,356"
"1606487902-12","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Open GL","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Open%A0GL","84","99","14,782,736","99","25,014,739","99","14,459,961","99","100,093,976","99","187,625,196","99","13,037,601","99","47,255,602","99","26,114,446","99","35,210,467","99","25,977,384","99","25,002,652","99","13,050,689","99","14,203,861","99","15,536,751","99","16,459,420","99","13,405,803","99","14,036,481","99","25,000,428","99","46,085,174","99","28,107,881","99","13,062,637","99","34,121,648","99","25,005,584"
"1606488054-32","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","T e t s u","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=T%A0e%A0t%A0s%A0u","40","99","26,570,912","99","27,017,467","99","25,164,525","99","127,781,038","99","200,000,000","99","14,782,958","99","34,455,569","99","25,000,816","99","25,148,455","99","27,102,374","99","133,897,055","99","25,004,441","99","14,094,946","99","15,301,856","99","13,122,001","99","13,616,643","99","13,060,421","99","25,001,161","99","39,216,675","99","25,926,792","99","13,040,550","99","16,390,628","99","13,620,268"
