web-scraper-order,web-scraper-start-url,char_link,char_link-href,rank,attack_lvl,attack_exp,def_lvl,def_exp,str_lvl,str_exp,hp_lvl,hp_exp,range_lvl,range_exp,prayer_lvl,prayer_exp,mage_lvl,mage_exp,cook_lvl,cook_exp,wc_lvl,wc_exp,fletch_lvl,fletch_exp,fish_lvl,fish_exp,fm_lvl,fm_exp,craft_lvl,craft_exp,smith_lvl,smith_exp,mining_lvl,mining_exp,herb_lvl,herb_exp,agile_lvl,agile_exp,thieving_lvl,thieving_exp,slayer_lvl,slayer_exp,farming_lvl,farming_exp,rc_lvl,rc_exp,hunt_lvl,hunt_exp,con_lvl,con_exp
"1606488151-45","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","amorals1n","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=amorals1n","1,595","99","27,814,641","99","32,358,147","99","27,740,954","99","106,624,358","99","200,000,000","99","20,566,060","99","22,800,899","99","22,776,408","99","20,638,180","99","44,691,946","99","14,722,288","99","17,597,949","97","10,871,530","95","9,158,390","83","2,860,220","91","6,305,431","85","3,490,387","99","14,526,632","99","30,593,966","99","21,822,524","94","8,515,100","99","13,437,179","99","16,332,184"
"1606487935-17","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Iron Flyn","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Iron%A0Flyn","383","99","13,066,093","99","13,048,603","99","23,011,756","99","54,158,287","99","102,391,892","99","15,268,602","99","18,177,485","99","29,049,247","99","13,723,609","99","26,148,247","99","13,117,782","99","22,034,089","99","20,559,053","99","13,683,323","99","14,145,522","99","15,045,544","99","13,405,409","99","25,067,809","99","32,755,157","99","26,071,051","99","13,040,155","99","25,182,640","99","13,542,368"
"1606487943-18","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Tjs109","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Tjs109","1,441","99","33,132,272","99","33,318,517","99","34,640,382","99","38,837,972","97","11,506,436","93","7,532,445","94","8,461,874","99","27,258,167","99","28,244,375","99","26,149,815","99","25,077,836","99","13,168,318","99","13,465,579","99","18,665,438","99","26,443,111","99","14,054,286","90","5,457,686","99","13,209,395","99","17,345,698","93","7,401,366","91","5,927,182","93","7,458,393","99","13,406,380"
"1606488046-31","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Moppet","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Moppet","111","99","13,733,687","99","93,783,967","99","13,442,850","99","127,884,272","99","19,262,317","99","13,035,727","99","145,510,700","99","13,056,045","99","20,239,722","99","27,075,551","99","13,059,770","99","13,036,966","99","13,091,808","99","13,687,262","99","13,041,446","99","14,112,328","99","23,770,105","99","13,050,615","99","73,611,896","99","25,300,820","99","13,732,438","99","13,298,252","99","13,306,651"
"1606488180-49","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","RankedInPray","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=RankedInPray","6,626","99","13,800,216","99","13,372,822","99","13,646,150","99","44,492,642","99","93,645,259","99","33,544,575","93","7,267,644","99","18,933,429","99","32,743,671","99","77,087,674","98","12,404,808","99","25,617,952","88","4,562,274","99","16,469,890","99","13,773,766","80","2,137,206","89","4,998,468","85","3,449,623","82","2,542,604","78","1,735,969","73","1,035,071","68","614,279","92","6,599,660"
"1606487909-13","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Iron Pidbull","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Iron%A0Pidbull","159","99","68,425,161","99","56,767,182","99","62,828,924","99","82,629,249","99","24,021,689","99","13,551,537","99","19,120,747","99","26,577,394","99","25,001,871","99","25,981,075","99","25,015,456","99","14,614,581","99","21,074,225","99","16,386,614","99","20,684,794","99","16,679,405","99","13,812,466","99","19,233,736","99","34,931,323","99","25,220,570","99","13,037,349","99","25,079,625","99","25,106,309"
"1606487950-19","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","PancakeOSRS","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=PancakeOSRS","44","99","72,836,890","99","111,790,292","99","80,189,265","99","125,488,987","99","42,284,240","99","13,174,301","99","31,202,362","99","34,265,728","99","25,181,590","99","26,155,930","99","26,596,833","99","25,021,064","99","13,619,977","99","13,059,519","99","25,165,680","99","13,243,601","99","20,295,452","99","25,007,703","99","64,579,061","99","22,224,957","99","21,620,474","99","39,141,609","99","13,067,854"
"1606487958-20","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","WTF S7VEN","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=WTF%A0S7VEN","6,973","99","13,035,964","99","13,186,280","99","13,069,474","99","49,040,301","99","106,497,944","87","4,179,713","99","13,284,099","97","11,211,812","99","13,040,374","99","26,260,085","92","6,944,260","70","765,451","90","5,636,190","86","3,710,208","81","2,265,227","84","3,214,686","81","2,364,568","92","6,956,759","99","29,615,433","99","25,043,122","85","3,523,712","99","22,346,308","75","1,246,648"
"1606488083-36","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Pimp Player","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Pimp%A0Player","1,044","97","10,982,790","99","25,480,886","95","9,091,274","99","45,028,712","97","10,704,014","97","11,030,757","99","73,378,639","99","25,181,545","99","48,898,983","99","30,222,767","99","28,655,312","99","25,375,358","95","8,912,821","99","23,700,595","99","25,003,851","96","9,685,484","99","14,933,469","99","25,141,790","99","25,302,646","99","26,543,519","93","7,381,490","99","27,058,437","95","9,345,260"
"1606488098-38","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Zombrons","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Zombrons","418","99","20,400,814","99","20,956,998","99","20,526,616","99","70,678,777","99","109,776,790","99","13,079,454","99","13,478,375","99","20,465,007","99","14,865,700","99","33,377,139","99","13,206,418","99","13,038,667","99","14,363,446","99","13,186,419","99","13,992,604","99","13,106,598","99","13,059,600","99","18,546,786","99","19,018,899","99","16,036,120","99","13,158,343","99","25,066,923","99","13,066,334"
"1606488069-34","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Moth Aura","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Moth%20Aura","5,245","99","30,476,838","99","20,883,033","99","25,928,241","99","27,817,733","87","4,374,176","71","860,408","99","17,261,032","99","25,319,204","99","46,436,687","99","28,597,814","99","25,105,616","87","4,158,469","97","10,793,825","91","6,221,103","99","18,079,244","89","4,936,215","91","6,132,553","99","14,195,232","99","25,413,471","96","9,831,472","70","748,455","99","24,631,659","70","810,460"
"1606488076-35","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Fail Blazer","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Fail%A0Blazer","8,346","99","16,396,226","99","35,233,411","99","13,166,495","99","93,513,654","99","15,781,119","83","2,774,985","99","200,000,000","99","26,030,065","99","25,079,295","99","29,801,695","99","39,719,121","89","4,856,033","99","13,034,579","99","17,078,592","99","28,783,884","77","1,604,383","85","3,402,499","91","6,442,089","99","33,876,564","80","2,105,663","80","1,989,241","68","607,306","50","107,135"
"1606487886-10","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Tatapie","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Tatapie","2,568","99","93,482,277","99","66,686,050","99","76,927,911","99","106,757,405","99","19,759,017","95","8,887,749","99","30,193,795","99","25,441,345","99","25,334,921","99","25,954,288","99","25,540,363","85","3,327,359","99","13,058,535","91","6,479,426","99","35,065,386","96","10,419,759","88","4,468,398","99","25,347,364","99","55,155,888","99","14,235,433","91","5,911,699","99","25,028,674","67","600,215"
