category,name,price_in_dollar,calories
Specialties,Black Bean Quesarito,3.19,630
Drinks,Lipton® Unsweetened Iced Tea,1.99,0
Tacos,Chalupa Supreme,2.99,350
GROUPS,Variety Taco Party Pack,15.99,170
Drinks,Mountain Dew®,1.99,220-410
Drinks,Dragon Fruit Freeze,2.69,190-230
Online Exclusives,Black Bean Chalupa,3.29,330
Sides & Sweets,Diablo Sauce Packet,0.0,0
Specialties,Chalupa Supreme,2.99,350
Nachos,Chips and Nacho Cheese Sauce,1.0,220
New,Black Bean Chalupa,3.29,330
Quesadillas,Chicken Quesadilla Combo,6.59,1100
Breakfast,Grande Toasted Breakfast Burrito Steak,3.49,560
Tacos,3 Crunchy Tacos Combo,5.79,930
Quesadillas,Quesarito,3.19,650
Breakfast,Breakfast Crunchwrap,2.79,670
Veggie Cravings,Bean Burrito,1.29,350
Breakfast,Hash Brown,1.29,160
Veggie Cravings,Black Bean Crunchwrap Supreme®,3.69,510
Drinks,Mountain Dew® Baja Blast™ Zero Sugar,1.99,5-15
Power Menu,Power Menu Bowl,5.49,470
Value Menu,Beef Burrito,1.0,430
Drinks,Sierra Mist®,1.99,200-380
Quesadillas,Steak Quesadilla,3.99,520
Combos,3 Doritos® Locos Tacos Supreme Combo,7.59,990
Sides & Sweets,Cinnabon Delights® 12 Pack,4.99,930
Tacos,Cheesy Gordita Crunch,3.59,500
Veggie Cravings,Cinnabon Delights® 2 Pack,1.29,160
Drinks,Wild Strawberry Freeze,2.69,150-190
