web-scraper-order,web-scraper-start-url,name,descr,nutrition,rank
"1608159248-126","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=36","In N' Out Double Double","Items off of the secret menu, like 3x3, 4x4, and animal style, are worse, but the double double off of the main menu is pretty bad. It has 670 calories, 41 grams of fat (18 grams saturated fat), and 1,440 milligrams of sodium, thanks to a ton of cheese and two patties.","670 calories, 41 grams of fat (18 grams saturated fat), and 1,440 milligrams of sodium","36"
"1608159282-138","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=24","Dunkin Donut's Cosmic Strawberry Coolata","Nothing cool about this frosty beverage! ""With a whopping 30+ teaspoons of sugar and just about nothing else, this drink is sure to do a number on your blood sugar,"" says White. a large  has 480 calories, 60 milligrams sodium—and 121 grams of sugar. (Yikes!)","480 calories, 60 milligrams sodium—and 121 grams of sugar","24"
"1608159320-152","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=10","Corner Bakery Rustic Italian Panini","""Heavily processed meats, like the salami and pepperoni, combined with a pesto vinaigrette brings the calorie, fat, saturated fat, and sodium content up,"" says Proctor. When picking out a sandwich, look for leaner sources of protein, like chicken breast or turkey, to bring down the calorie and fat content. This sandwich has 1,030 calories, 23 grams of saturated fat, and 3,310 milligrams of sodium.","1,030 calories, 23 grams of saturated fat, and 3,310 milligrams of sodium","10"
"1608159293-142","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=20","IHOP's Big Farmhouse BreakFEAST","""Depending on the accoutrements, this morning meal of eggs, pancakes, toast, and processed meats stacks up to nearly 2,000 calories and an obscene amount of sodium–nearly double the daily recommendation,"" says cookbook author, registered dietitian, certified athletic trainer Dana Angelo White, MS, RD ATC. The full meal contains 1,900 calories, 46 grams saturated fat, and 4,680 milligrams sodium.","1,900 calories, 46 grams saturated fat, and 4,680 milligrams sodium.","20"
"1608159237-122","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=40","Olive Garden's Chicken Alfredo","""A hard even 100 grams of fat in this pasta dish, and more than half is the artery-clogging saturated kind. And this is before the endless salad and breadsticks,"" says White. The dish has 1,620 calories, 100 grams of fat, and 1,680 milligrams of sodium.","1,620 calories, 100 grams of fat, and 1,680 milligrams of sodium.","40"
"1608159345-161","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=1","Cheesecake Factory Breakfast Burrito","Filled with scrambled eggs, bacon, chicken chorizo, cheese, crispy potatoes, avocado, peppers, and onions, it's no surprise this burrito made the list. With a serving of sour cream and black beans, this entree will set you back 2,730 calories, 73 grams of saturated fat, and 4,630 milligrams of sodium.","2,730 calories, 73 grams of saturated fat, and 4,630 milligrams of sodium.","1"
"1608159323-153","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=9","El Pollo Loco Double Chicken Tostada Salad","While it does have 10 grams of fiber, this salad has more calories than some fast food burgers. ""The main calorie and fat driver in this meal is the fried tostada bowl. Nix the fried tostada bowl to make a heart healthier salad,"" says Proctor—and ask for dressing on the side. All-in-all, this salad has 1,000 calories, 49 grams of saturated fat, and 1,730 milligrams of sodium.","1,000 calories, 49 grams of saturated fat, and 1,730 milligrams of sodium.","9"
"1608159274-135","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=27","Outback Steakhouse Bloomin Onion","This app is loaded with refined carbohydrates (almost 200g worth!), which Sam Presicci, MCN, RD, LD, CPT, Lead Registered Dietitian at Snap Kitchen, warns can contribute to digestive issues and leaky gut. ""The high carbohydrate count is also bad news for blood sugar control [and] the sodium in this dish is also over 3,000 milligrams, which well exceeds what someone should aim for in one meal,"" she says. It n total, it consists of 1,950 calories, 56 grams of saturated fat, and 3,840 milligrams of sodium.","1,950 calories, 56 grams of saturated fat, and 3,840 milligrams of sodium","27"
"1608159243-124","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=38","Uno Pizzeria & Grill Deep Dish Buffalo Chicken Mac & Cheese","Macaroni and cheese can already be a pretty fattening choice, but topping it with buffalo chicken will add 2,320 calories, 59 grams of saturated fat, and 4,530 milligrams of sodium to your day.","2,320 calories, 59 grams of saturated fat, and 4,530 milligrams of sodium","38"
"1608159246-125","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=37","Subway Spicy Italian","For a 6-inch sub, this one is a doozy. It has 450 calories, 24 grams of fat (9 grams of saturated fat), and 1,240","450 calories, 24 grams of fat (9 grams of saturated fat), and 1,240","37"
"1608159290-141","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=21","Taco Bell Chalupa Craving Box","Why is this so bad for you? ""Pile on a fried and greasy taco, burrito, and a chalupa, and then finish it off with cinnamon twists (more fried) and a sugary soda,"" explains White. That'll all set you back 1,180 calories, 52 grams fat, and 2,370 milligrams sodium.","1,180 calories, 52 grams fat, and 2,370 milligrams sodium.","21"
"1608159315-150","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=12","Subway Chicken & Bacon Ranch Melt","It might not sound that bad, but the Chicken & Bacon Ranch Melt is one of the unhealthiest items on Subway's menu. ""The ranch dressing, combined with the cheese and bacon, means that the sodium level is sky high. In fact, a 12-inch sub contains almost two-thirds of your daily sodium,"" says Richards. It contains 540 calories, 10 grams of saturated fat, and 1,100 milligrams of sodium.","540 calories,","12"
"1608159287-140","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=22","Olive Garden Chicken & Shrimp Carbonara","This take on surf n' turf is way, way bad for you. It clocks in at 1,390 calories, 94 grams of fat, and 2,050 milligrams of sodium. Yes, that's right, it has trans fat, which is a huge no-no for your heart.","1,390 calories, 94 grams of fat, and 2,050 milligrams of sodium","22"
"1608159276-136","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=26","Jack In The Box Brunch Burger","""A buttery croissant meets a bacon cheeseburger with a fried egg and comes in at a whopping 770 calories, 21 grams of saturated fat, and 730 milligrams of sodium,"" says Rizzo. Please don't start your day with this—it won't start the day on a good note.","770 calories, 21 grams of saturated fat, and 730 milligrams of sodium","26"
"1608159259-130","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=32","Schlotzsky’s Deluxe Original Sandwich","""This sandwich [in a large] has more than 7,500 milligrams of sodium and almost 2,000 calories, which is more than almost anyone should consume in one sitting,"" says Presicci. ""Combine that with more than 150 grams of carbs (this is the equivalent of about 10 normal slices of bread) and you'll be left feeling tired, puffy, and cranky,"" she adds. It also has 42 grams saturated fat.","7,500 milligrams of sodium and almost 2,000 calories","32"
"1608159312-149","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=13","Burger King Triple Whopper Sandwich","""The Triple Whopper won't do your waistline any favors, thanks to the 1,140 calories and 75 grams of fat, and the high sodium levels are bad for your heart health,"" says Richards. Just as bad, this burger contains 5 grams of trans fat, which can increase your LDL cholesterol, clog up your arteries, and increase the risk of heart disease, she says. It also has 27 grams of saturated fat and 840 milligrams sodium.","1,14","13"
"1608159329-155","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=7","Shake Shack Double SmokeShack Burger","Of course, there are healthy fast food burger choices, like a single hamburger. But this DoubleSmoke Shack with bacon, cherry pepper, and ShackSauce is one of the most fattening options. The sandwich alone has 930 calories, but paired with a side of fries and a peanut butter shake, this fast food lunch comes in at 2,240 calories, 55 grams of saturated fat, and 3,170 milligrams of sodium.","2,240 calories, 55 grams of saturated fat, and 3,170 milligrams of sodium.","7"
"1608159284-139","https://www.menshealth.com/health/g22589895/unhealthiest-restaurant-meals-in-america/?slide=23","The Cheesecake Factory Macaroni and Cheese Burger","Mac and cheese on a burger? Yes, it sounds amazing, but it might be bad news for your health. ""Doesn't every cheeseburger need a pile of fried mac and cheese? And a side of fries, of course,"" jokes White. Avoid this doozy, as it comes to 1,330 calories, 83 grams of fat, and 2,560 milligrams of sodium.","1,330 calories, 83 grams of fat, and 2,560 milligrams of sodium.","23"
