web-scraper-order,web-scraper-start-url,main_food_link,main_food_link-href,name,serving_size,calories,fat,protein,carbs
"1608223611-214","https://www.elpolloloco.com/our-food/","Extras","https://www.elpolloloco.com/our-food/Extras","6"" Flour Tortillas","2.2 oz","190","6g","5g","29g"
"1608223829-261","https://www.elpolloloco.com/our-food/","Street Tacos","https://www.elpolloloco.com/our-food/streettacos","","","","","",""
"1608223829-257","https://www.elpolloloco.com/our-food/","Street Tacos","https://www.elpolloloco.com/our-food/streettacos","Chickenless Pollo Street Taco","5.8 oz","190","7g","11g","21g"
"1608223652-221","https://www.elpolloloco.com/our-food/","$5 Fire Grilled Combos","https://www.elpolloloco.com/our-food/Fire-Grilled-Combos","Chicken Nachos Combo","13.1 oz","830","48g","30g","68g"
"1608223763-248","https://www.elpolloloco.com/our-food/","Chickenless Pollo","https://www.elpolloloco.com/our-food/chickenlesspollo","Chickenless Pollo Burrito","18.1 oz","750","35g","28g","86g"
"1608223695-225","https://www.elpolloloco.com/our-food/","Burritos","https://www.elpolloloco.com/our-food/burritos","California Queso Burrito","19.4 oz","930","42g","40g","93g"
"1608223611-207","https://www.elpolloloco.com/our-food/","Extras","https://www.elpolloloco.com/our-food/Extras","Loading...","","","","",""
"1608223843-262","https://www.elpolloloco.com/our-food/","Tostadas","https://www.elpolloloco.com/our-food/tostadas","Loading...","","","","",""
"1608223611-208","https://www.elpolloloco.com/our-food/","Extras","https://www.elpolloloco.com/our-food/Extras","","","","","",""
"1608223912-269","https://www.elpolloloco.com/our-food/","Holiday Favorites","https://www.elpolloloco.com/our-food/holiday-favorites","Crispy Tamale and Tinga Bowl","18.9 oz","710","31g","29g","75g"
"1608223552-206","https://www.elpolloloco.com/our-food/","Sides, Drinks & Salsas","https://www.elpolloloco.com/our-food/sides-drinks-salsas","Bottled Water","16.9 oz","0","0g","0g","0g"
"1608223763-247","https://www.elpolloloco.com/our-food/","Chickenless Pollo","https://www.elpolloloco.com/our-food/chickenlesspollo","Vegan Chickenless Pollo Burrito","16.1 oz","550","16g","23g","82g"
"1608223611-210","https://www.elpolloloco.com/our-food/","Extras","https://www.elpolloloco.com/our-food/Extras","Original BRC Burrito","7.6 oz","410","11g","14g","61g"
"1608223740-242","https://www.elpolloloco.com/our-food/","Under 500 Calories","https://www.elpolloloco.com/our-food/under-500-calories","Double Chicken Avocado Salad","14.6 oz","370","14g","48g","14g"
"1608223740-243","https://www.elpolloloco.com/our-food/","Under 500 Calories","https://www.elpolloloco.com/our-food/under-500-calories","","","","","",""
"1608223718-238","https://www.elpolloloco.com/our-food/","Bowls","https://www.elpolloloco.com/our-food/bowls","Chicken Black Bean Bowl","18.7 oz","460","11g","37g","57g"
"1608223652-220","https://www.elpolloloco.com/our-food/","$5 Fire Grilled Combos","https://www.elpolloloco.com/our-food/Fire-Grilled-Combos","Chicken Tacos al Carbon Combo","9.5 oz","430","13g","29g","51g"
"1608223912-270","https://www.elpolloloco.com/our-food/","Holiday Favorites","https://www.elpolloloco.com/our-food/holiday-favorites","Double Loaded Queso Tamale Bowl","20.7 oz","750","30g","45g","74g"
"1608223552-204","https://www.elpolloloco.com/our-food/","Sides, Drinks & Salsas","https://www.elpolloloco.com/our-food/sides-drinks-salsas","","","","","",""
"1608223611-212","https://www.elpolloloco.com/our-food/","Extras","https://www.elpolloloco.com/our-food/Extras","Two Cinnamon Churros","2.5 oz","280","17g","2g","29g"
"1608223843-263","https://www.elpolloloco.com/our-food/","Tostadas","https://www.elpolloloco.com/our-food/tostadas","Classic Tostada Salad","16.3 oz","830","41g","39g","74g"
"1608223874-265","https://www.elpolloloco.com/our-food/","Family Dinners","https://www.elpolloloco.com/our-food/family-dinners","Loading...","","","","",""
"1608223740-241","https://www.elpolloloco.com/our-food/","Under 500 Calories","https://www.elpolloloco.com/our-food/under-500-calories","Chicken Avocado Tortilla Wrap","11.9 oz","480","19g","34g","47g"
"1608223695-230","https://www.elpolloloco.com/our-food/","Burritos","https://www.elpolloloco.com/our-food/burritos","Chipotle Chicken Avocado Burrito","18.9 oz","880","40g","44g","86g"
"1608223695-226","https://www.elpolloloco.com/our-food/","Burritos","https://www.elpolloloco.com/our-food/burritos","Chicken Tinga Burrito","17.7 oz","750","28g","34g","90g"
"1608223829-259","https://www.elpolloloco.com/our-food/","Street Tacos","https://www.elpolloloco.com/our-food/streettacos","The World's First Keto Taco™","6.0 oz","250","17g","18g","13g"
"1608223695-231","https://www.elpolloloco.com/our-food/","Burritos","https://www.elpolloloco.com/our-food/burritos","Chicken Avocado Burrito","18.0 oz","870","47g","42g","71g"
"1608223652-223","https://www.elpolloloco.com/our-food/","$5 Fire Grilled Combos","https://www.elpolloloco.com/our-food/Fire-Grilled-Combos","Original Pollo Bowl®  Combo","18.1 oz","530","7g","36g","80g"
"1608223740-239","https://www.elpolloloco.com/our-food/","Under 500 Calories","https://www.elpolloloco.com/our-food/under-500-calories","Loading...","","","","",""
"1608223718-234","https://www.elpolloloco.com/our-food/","Bowls","https://www.elpolloloco.com/our-food/bowls","Loading...","","","","",""
"1608223763-246","https://www.elpolloloco.com/our-food/","Chickenless Pollo","https://www.elpolloloco.com/our-food/chickenlesspollo","Chickenless Pollo Street Taco","5.8 oz","190","7g","11g","21g"
"1608223630-217","https://www.elpolloloco.com/our-food/","Kids Meals","https://www.elpolloloco.com/our-food/kids-meals","Original BRC Burrito","7.6 oz","410","11g","14g","61g"
