web-scraper-order,web-scraper-start-url,category,category-href,name,price_in_dollar,calories
"1608225464-455","https://www.tacobell.com/food","Power Menu","https://www.tacobell.com/food/power-menu","Power Menu Bowl - Veggie","5.49","430"
"1608225604-576","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","3 Soft Tacos Supreme® Combo","6.59","1050"
"1608225484-461","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Power Menu Bowl - Veggie","5.49","430"
"1608225508-485","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Supreme Soft Taco Party Pack","15.99","210"
"1608225484-459","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Black Bean Quesarito","3.19","630"
"1608225645-587","https://www.tacobell.com/food","New","https://www.tacobell.com/food/new","Veggie Nachos Party Pack","9.99","1770"
"1608225593-544","https://www.tacobell.com/food","Nachos","https://www.tacobell.com/food/nachos","Nachos BellGrande®","3.69","740"
"1608225529-490","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Mountain Dew Baja Blast® Freeze","2.69","150-190"
"1608225604-573","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","3 Crunchy Tacos Combo","5.79","930"
"1608225600-558","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","3 Crunchy Tacos Supreme® Combo","6.59","990"
"1608225604-575","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","3 Soft Tacos Combo","5.79","960"
"1608225600-557","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Crunchy Taco Supreme®","1.79","190"
"1608225508-484","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Supreme Taco Party Pack","15.99","190"
"1608225504-472","https://www.tacobell.com/food","Value Menu","https://www.tacobell.com/food/cravings-value-menu","Chicken Chipotle Melt","1.00","190"
"1608225552-535","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Nachos BellGrande®","3.69","740"
"1608225604-577","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","Burrito Supreme® Combo","6.29","1000"
"1608225532-509","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Black Beans and Rice","1.49","170"
"1608225484-471","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Hash Brown","1.29","160"
"1608225443-439","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Cheesy Toasted Breakfast Burrito","1.29","340"
"1608225443-448","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Breakfast Crunchwrap Combo","4.99","1110"
"1608225600-559","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Nacho Cheese Doritos® Locos Tacos","1.89","170"
"1608225552-534","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Chicken Quesadilla","3.79","510"
"1608225604-570","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","Chicken Quesadilla Combo","6.59","1100"
"1608225624-582","https://www.tacobell.com/food","Online Exclusives","https://www.tacobell.com/food/online-exclusives","Black Bean Quesarito","3.19","630"
"1608225600-553","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Soft Taco","1.29","180"
